operator	time	order_ref	user_name	amount
TTL781007	2018-04-04 04:45:32	hiifx_201804040445318215	cy1981	3000.0000	
TTL781007	2018-04-04 04:46:01	hiifx_201804040446011131	whl1987	1500.0000	
TTL781007	2018-04-04 04:46:37	hiifx_201804040446366509	wulifang	6000.0000	
TTL781007	2018-04-04 04:48:50	hiifx_201804040448498233	zlx1980	6000.0000	
TTL781007	2018-04-04 04:49:30	hiifx_201804040449306441	xh90011	1500.0000	
TTL781007	2018-04-04 04:50:11	hiifx_201804040450111424	wangzhigang	6000.0000	
TTL781007	2018-04-04 06:21:40	hiifx_201804040621392354	Fxy654321	15000.0000	
TTL781007	2018-04-04 06:28:55	hiifx_201804040628544358	chentianjing	7750.0000	
TTL781007	2018-04-04 06:48:35	hiifx_201804040648354540	huangxianyan623	4650.0000	
TTL781007	2018-04-04 06:50:25	hiifx_201804040650249150	Tlw654321	23000.0000	
TTL781007	2018-04-04 06:56:29	hiifx_201804040656282598	liuyueqiji	30222.5800	
TTL781007	2018-04-04 07:36:23	hiifx_201804040736232809	jsq1319	3000.0000	
TTL781007	2018-04-04 08:07:04	hiifx_201804040807049784	jsq1319	20000.0000	
TTL781007	2018-04-04 08:07:32	hiifx_201804040807323454	jsq1319	3000.0000	
TTL781007	2018-04-04 08:11:56	hiifx_201804040811561682	jason	1703.6200	
TTL781007	2018-04-04 08:13:39	hiifx_201804040813397391	lxy16801	11000.0000	
TTL781007	2018-04-04 08:15:36	hiifx_201804040815357068	xh90019	1500.0000	
TTL781007	2018-04-04 08:16:26	hiifx_201804040816263229	xh90001	6000.0000	
TTL781007	2018-04-04 08:17:09	hiifx_201804040817089286	xuminghua	4000.0000	
TTL781007	2018-04-04 08:19:41	hiifx_201804040819411902	yanzhenhui	5000.0000	
TTL781007	2018-04-04 08:20:43	hiifx_201804040820425077	xh90021	3000.0000	
TTL781007	2018-04-04 08:21:20	hiifx_201804040821193381	lhc1314	3000.0000	
TTL781007	2018-04-04 08:22:00	hiifx_201804040822006890	xh90022	6000.0000	
TTL781007	2018-04-04 08:24:58	hiifx_201804040824578484	xh90006	4500.0000	
TTL781007	2018-04-04 08:25:40	hiifx_201804040825396562	tanjingyan	6000.0000	
TTL781007	2018-04-04 08:26:26	hiifx_201804040826268395	wd1314	3000.0000	
TTL781007	2018-04-04 08:27:34	hiifx_201804040827347992	lhw1314	6000.0000	
TTL781007	2018-04-04 08:28:19	hiifx_201804040828191819	xqw0001	11000.0000	
TTL781007	2018-04-04 08:31:20	hiifx_201804040831205121	lb8288	750.0000	
TTL781007	2018-04-04 08:32:17	hiifx_201804040832175322	hmj1314	3000.0000	
TTL781007	2018-04-04 08:32:53	hiifx_201804040832538709	gx0001	3000.0000	
TTL781007	2018-04-04 08:33:25	hiifx_201804040833255606	Zx888	750.0000	
TTL781007	2018-04-04 08:35:00	hiifx_201804040835005784	fine588	750.0000	
TTL781007	2018-04-04 08:36:22	hiifx_201804040836223991	chenxuliang	6000.0000	
TTL781007	2018-04-04 08:37:10	hiifx_201804040837097133	ymh1319	5000.0000	
TTL781007	2018-04-04 08:39:12	hiifx_201804040839118251	lwz0001	750.0000	
TTL781007	2018-04-04 08:39:57	hiifx_201804040839566633	yinglingheng	20000.0000	
TTL781007	2018-04-04 08:41:04	hiifx_201804040841035144	jt1234	15000.0000	
TTL781007	2018-04-04 09:35:41	hiifx_201804040935403894	lxjdhx	6000.0000	
TTL781007	2018-04-04 09:38:25	hiifx_201804040938245647	wangjianbo	7742.7000	
TTL781007	2018-04-04 09:38:58	hiifx_201804040938572676	wangjianbo	3757.3000	
hanseshhl	2018-04-04 09:47:07	hiifx_201804040947077141	ljh123456	3000.0000	
hanseshhl	2018-04-04 09:49:28	hiifx_201804040949285438	zf123456	1500.0000	
hanseshhl	2018-04-04 09:51:21	hiifx_201804040951206868	yy123456	1500.0000	
TTL781007	2018-04-04 09:55:32	hiifx_201804040955314047	Zhz654321	15000.0000	
hanseshhl	2018-04-04 09:59:10	hiifx_201804040959091694	yss123456	3000.0000	
TTL781007	2018-04-04 10:00:16	hiifx_201804041000157130	lizhitao178	4650.0000	
hanseshhl	2018-04-04 10:01:47	hiifx_201804041001473019	oxm123456	3000.0000	
hanseshhl	2018-04-04 11:45:12	hiifx_201804041145129182	xh90020	7500.0000	
hanseshhl	2018-04-04 11:46:52	hiifx_201804041146526045	xh90002	6000.0000	
hanseshhl	2018-04-04 11:48:26	hiifx_201804041148259151	xh90013	12000.0000	
hanseshhl	2018-04-04 11:50:03	hiifx_201804041150028080	xh90038	1500.0000	
hanseshhl	2018-04-04 12:10:23	hiifx_201804041210231707	dc1985	6000.0000	
hanseshhl	2018-04-05 03:58:50	hiifx_201804050358492990	zhengjiafu178	750.0000	
hanseshhl	2018-04-05 05:14:53	hiifx_201804050514522265	qwqw778899	15000.0000	
hanseshhl	2018-04-05 09:08:28	hiifx_201804050908287954	fine9588	7000.0000	
hanseshhl	2018-04-05 09:09:17	hiifx_201804050909175723	yqw1994	1500.0000	
hanseshhl	2018-04-05 09:10:15	hiifx_201804050910147920	zx1992	9000.0000	
hanseshhl	2018-04-05 09:10:59	hiifx_201804050910582525	ly8459	750.0000	
hanseshhl	2018-04-05 09:12:09	hiifx_201804050912084776	xh90007	6000.0000	
hanseshhl	2018-04-05 09:12:45	hiifx_201804050912454304	xh90005	6000.0000	
hanseshhl	2018-04-05 09:13:41	hiifx_201804050913412791	luopishuai	28.8100	
hanseshhl	2018-04-05 09:14:23	hiifx_201804050914222249	maojichang	750.0000	
hanseshhl	2018-04-05 09:15:42	hiifx_201804050915423567	xh90012	3000.0000	
hanseshhl	2018-04-05 09:16:50	hiifx_201804050916499429	heqingjuan	6000.0000	
hanseshhl	2018-04-05 09:17:40	hiifx_201804050917395661	luopiguan	8000.0000	
hanseshhl	2018-04-05 09:18:20	hiifx_201804050918204574	jinyan	4000.0000	
hanseshhl	2018-04-05 09:19:35	hiifx_201804050919343885	MD727678	10800.0000	
hanseshhl	2018-04-05 09:20:15	hiifx_201804050920155055	MD727678	1200.0000	
hanseshhl	2018-04-05 09:21:19	hiifx_201804050921182794	wzl12922	750.0000	
hanseshhl	2018-04-05 09:21:55	hiifx_201804050921559569	wei890105	9000.0000	
hanseshhl	2018-04-05 09:22:39	hiifx_201804050922396447	cxp5276	7000.0000	
hanseshhl	2018-04-05 10:00:50	hiifx_201804051000496277	tianjiao	7000.0000	
hanseshhl	2018-04-05 10:01:21	hiifx_201804051001211037	tianjiao	1000.0000	
hanseshhl	2018-04-05 10:02:06	hiifx_201804051002059593	LeeyoungJia	3000.0000	
hanseshhl	2018-04-05 10:02:38	hiifx_201804051002372134	wxy6744	5000.0000	
hanseshhl	2018-04-05 10:03:12	hiifx_201804051003128262	Jiang888	6000.0000	
hanseshhl	2018-04-05 10:03:42	hiifx_201804051003429659	lxjdhx	2000.0000	
hanseshhl	2018-04-05 10:04:13	hiifx_201804051004126269	15259276397	2321.8000	
hanseshhl	2018-04-05 10:04:58	hiifx_201804051004587069	xh90029	3000.0000	
hanseshhl	2018-04-05 10:06:55	hiifx_201804051006544348	wxm1988126	6000.0000	
hanseshhl	2018-04-05 10:08:01	hiifx_201804051008001880	shijing	3000.0000	
hanseshhl	2018-04-05 10:08:56	hiifx_201804051008561176	qgq1314	3000.0000	
hanseshhl	2018-04-05 10:09:35	hiifx_201804051009356780	yanxiuyun	750.0000	
hanseshhl	2018-04-05 10:10:14	hiifx_201804051010148237	ligang	7500.0000	
hanseshhl	2018-04-05 10:11:03	hiifx_201804051011028174	D168168	3000.0000	
hanseshhl	2018-04-05 10:11:40	hiifx_201804051011405887	jsq1319	15000.0000	
hanseshhl	2018-04-05 10:12:18	hiifx_201804051012186180	lxjdhx	1500.0000	
hanseshhl	2018-04-05 10:12:57	hiifx_201804051012577956	wanghaipeng	7500.0000	
hanseshhl	2018-04-05 10:13:59	hiifx_201804051013597835	cxl6688	3000.0000	
hanseshhl	2018-04-05 10:14:52	hiifx_201804051014519067	TG2018	10000.0000	
hanseshhl	2018-04-05 10:15:49	hiifx_201804051015486324	huangxianyan623	5417.5400	
hanseshhl	2018-04-05 10:16:39	hiifx_201804051016392012	liyadong518	4500.0000	
hanseshhl	2018-04-05 10:17:22	hiifx_201804051017213035	cuijw1122	750.0000	
hanseshhl	2018-04-05 10:17:59	hiifx_201804051017598605	fengcj518	750.0000	
hanseshhl	2018-04-05 10:51:37	hiifx_201804051051376850	xh90025	6000.0000	
hanseshhl	2018-04-05 11:01:13	hiifx_201804051101129893	sun888	3000.0000	
hanseshhl	2018-04-06 02:28:51	hiifx_201804060228516203	lujianguo737425	7500.0000	
hanseshhl	2018-04-06 02:33:14	hiifx_201804060233135129	andyxiao	1500.0000	
heeheng	2018-04-06 04:16:28	hiifx_201804060416279733	wangyan	1500.0000	
heeheng	2018-04-06 06:07:17	hiifx_201804060607167443	kini77	15000.0000	
hanseshhl	2018-04-06 08:29:51	hiifx_201804060829514639	zqk1994	4500.0000	
hanseshhl	2018-04-06 08:30:58	hiifx_201804060830587036	syy1991	1500.0000	
hanseshhl	2018-04-06 08:32:09	hiifx_201804060832097086	ljj1993	1500.0000	
hanseshhl	2018-04-06 08:33:41	hiifx_201804060833418408	lbw1970	3000.0000	
hanseshhl	2018-04-06 08:34:28	hiifx_201804060834289125	hwl1974	3000.0000	
TTL781007	2018-04-06 10:12:37	hiifx_201804061012378305	lizibin	7500.0000	
TTL781007	2018-04-06 10:27:02	hiifx_201804061027025841	tn9529	15000.0000	
heeheng	2018-04-06 11:41:02	hiifx_201804061141018734	chenjianxun	1500.0000	
heeheng	2018-04-06 11:43:58	hiifx_201804061143583124	dengqiiuju	1500.0000	
TTL781007	2018-04-06 12:24:04	hiifx_201804061224039926	yanxiuyun	750.0000	
TTL781007	2018-04-06 12:24:46	hiifx_201804061224466674	zhangbo	750.0000	
TTL781007	2018-04-06 12:25:40	hiifx_201804061225402243	liminli	4000.0000	
TTL781007	2018-04-06 12:26:22	hiifx_201804061226213625	nn1989	7500.0000	
TTL781007	2018-04-06 12:27:09	hiifx_201804061227088701	xh90035	1500.0000	
TTL781007	2018-04-06 12:27:54	hiifx_201804061227542022	xh90015	3000.0000	
TTL781007	2018-04-06 12:29:09	hiifx_201804061229081044	xh90051	1500.0000	
TTL781007	2018-04-06 12:29:48	hiifx_201804061229481046	zhaolj7788	1500.0000	
TTL781007	2018-04-06 12:30:40	hiifx_201804061230394507	danbo0404	1546.1900	
TTL781007	2018-04-06 12:33:10	hiifx_201804061233095511	luyingmin513	5102.4400	
TTL781007	2018-04-06 12:34:03	hiifx_201804061234026078	xcong	3092.3900	
TTL781007	2018-04-06 12:34:44	hiifx_201804061234447024	xh90032	1500.0000	
TTL781007	2018-04-06 12:35:23	hiifx_201804061235232199	qututu	1500.0000	
TTL781007	2018-04-06 12:36:05	hiifx_201804061236059951	lizhaocai	4000.0000	
TTL781007	2018-04-06 12:36:42	hiifx_201804061236421527	linshaoying	7500.0000	
TTL781007	2018-04-06 12:37:14	hiifx_201804061237134206	zhoushihui123	750.0000	
TTL781007	2018-04-06 12:42:14	hiifx_201804061242141063	zdz168	3000.0000	
TTL781007	2018-04-07 09:32:32	hiifx_201804070932327149	xf0504	3000.0000	
TTL781007	2018-04-07 09:33:50	hiifx_201804070933499045	gsp1108	3000.0000	
TTL781007	2018-04-07 10:25:27	hiifx_201804071025276430	lwz0001	750.0000	
TTL781007	2018-04-07 13:16:07	hiifx_201804071316078170	cuizhibin888	750.0000	
TTL781007	2018-04-07 13:16:48	hiifx_201804071316488740	liruowen888	1500.0000	
TTL781007	2018-04-07 13:37:55	hiifx_201804071337556197	dongriliange	2260.5700	
TTL781007	2018-04-07 13:38:49	hiifx_201804071338481444	yingying	3014.1000	
hanseshhl	2018-04-07 13:50:54	hiifx_201804071350538757	yizhen	1500.0000	
hanseshhl	2018-04-07 13:58:33	hiifx_201804071358321283	zhanglm6688	1000.0000	
hanseshhl	2018-04-07 13:59:49	hiifx_201804071359496073	zxh6688	750.0000	
hanseshhl	2018-04-07 14:01:12	hiifx_201804071401119341	zhanglm6688	500.0000	
TTL781007	2018-04-07 16:05:01	hiifx_201804071605014908	xh90050	1500.0000	
TTL781007	2018-04-07 16:07:38	hiifx_201804071607385854	jsq1319	1500.0000	
TTL781007	2018-04-07 16:08:34	hiifx_201804071608337481	wdx521	4000.0000	
TTL781007	2018-04-07 16:09:09	hiifx_201804071609099145	sheng888	3000.0000	
TTL781007	2018-04-07 16:09:55	hiifx_201804071609543704	yinxianyi	7271.5500	
TTL781007	2018-04-07 16:10:36	hiifx_201804071610366436	yinxianyi	7728.4500	
TTL781007	2018-04-07 16:11:15	hiifx_201804071611157647	zhangxiaojuan	7500.0000	
TTL781007	2018-04-07 16:11:51	hiifx_201804071611516612	ljy666699	4000.0000	
TTL781007	2018-04-07 16:12:23	hiifx_201804071612236269	xiaohei	750.0000	
TTL781007	2018-04-07 16:13:18	hiifx_201804071613186775	ycc123456	1854.8300	
TTL781007	2018-04-07 16:13:57	hiifx_201804071613561235	cxl6688	1500.0000	
TTL781007	2018-04-07 16:14:34	hiifx_201804071614347924	yly9999	1500.0000	
TTL781007	2018-04-07 16:15:10	hiifx_201804071615096929	ly18875012700	1500.0000	
TTL781007	2018-04-07 16:15:52	hiifx_201804071615524635	cxy111	31500.0000	
TTL781007	2018-04-07 16:16:29	hiifx_201804071616285464	rgj666699	1500.0000	
TTL781007	2018-04-07 16:16:59	hiifx_201804071616594038	h13808960894	750.0000	
TTL781007	2018-04-07 16:17:24	hiifx_201804071617233324	wdx521	1500.0000	
TTL781007	2018-04-07 16:18:23	hiifx_201804071618236128	zlf580603	1500.0000	
TTL781007	2018-04-07 16:18:52	hiifx_201804071618526359	qjl168	4000.0000	
TTL781007	2018-04-07 16:19:18	hiifx_201804071619174494	wqf168	3000.0000	
TTL781007	2018-04-07 16:19:49	hiifx_201804071619486491	s13983322086	3000.0000	
TTL781007	2018-04-07 16:20:44	hiifx_201804071620443270	wwj168168	1500.0000	
TTL781007	2018-04-07 16:21:03	hiifx_201804071621031466	wyy888	5000.0000	
TTL781007	2018-04-07 16:22:36	hiifx_201804071622352898	sunxiaoyi	6000.0000	
TTL781007	2018-04-07 16:23:01	hiifx_201804071623013661	cj777	1500.0000	
TTL781007	2018-04-07 16:23:42	hiifx_201804071623429277	zjj777	6000.0000	
TTL781007	2018-04-07 16:24:35	hiifx_201804071624353006	cy690117	3000.0000	
TTL781007	2018-04-07 16:25:35	hiifx_201804071625346630	zcj168168	1500.0000	
TTL781007	2018-04-07 16:27:11	hiifx_201804071627108233	hxy123456	30000.0000	
TTL781007	2018-04-07 16:27:55	hiifx_201804071627549414	lxy16801	5250.0000	
TTL781007	2018-04-07 16:28:41	hiifx_201804071628416473	xh8299	9750.0000	
TTL781007	2018-04-07 16:29:12	hiifx_201804071629129812	songyuliang	5000.0000	
TTL781007	2018-04-07 16:29:36	hiifx_201804071629367479	lxjdhx	5000.0000	
TTL781007	2018-04-07 16:29:59	hiifx_201804071629599989	lxj0035	7500.0000	
TTL781007	2018-04-07 16:30:27	hiifx_201804071630264149	jiekankan	4000.0000	
TTL781007	2018-04-07 16:30:59	hiifx_201804071630585407	gzbwow	7728.4500	
TTL781007	2018-04-07 16:31:46	hiifx_201804071631466336	gzbwow	7271.5500	
TTL781007	2018-04-07 16:32:36	hiifx_201804071632359467	ayn1979	4637.0700	
TTL781007	2018-04-07 16:33:05	hiifx_201804071633044132	zt7034	3000.0000	
TTL781007	2018-04-07 16:33:35	hiifx_201804071633348328	cy690117	1500.0000	
TTL781007	2018-04-07 16:33:58	hiifx_201804071633572984	xxx1108	4500.0000	
TTL781007	2018-04-07 16:34:25	hiifx_201804071634243913	sunxiaodong	6000.0000	
TTL781007	2018-04-07 16:35:26	hiifx_201804071635262900	Hiifx	30000.0000	
TTL781007	2018-04-07 16:35:56	hiifx_201804071635564494	luopishuai	4000.0000	
TTL781007	2018-04-07 16:40:27	hiifx_201804071640268742	luopishuai	4000.0000	
TTL781007	2018-04-07 16:41:33	hiifx_201804071641322953	hao0475	9000.0000	
TTL781007	2018-04-07 16:42:02	hiifx_201804071642022984	xcong	6182.7600	
TTL781007	2018-04-07 16:42:30	hiifx_201804071642308504	donghongxiu	1500.0000	
TTL781007	2018-04-07 16:43:01	hiifx_201804071643014946	bossmeng	7728.4500	
TTL781007	2018-04-07 16:43:38	hiifx_201804071643373728	bossmeng	1271.5500	
TTL781007	2018-04-07 16:44:39	hiifx_201804071644392292	fish494031821	7500.0000	
TTL781007	2018-04-07 16:45:03	hiifx_201804071645027588	mjm8888	7728.4500	
TTL781007	2018-04-07 16:45:37	hiifx_201804071645363699	andyxiao	750.0000	
TTL781007	2018-04-07 16:46:06	hiifx_201804071646066515	gaoxiaoping	7500.0000	
TTL781007	2018-04-07 16:46:30	hiifx_201804071646309606	guoqingzhen	3000.0000	
TTL781007	2018-04-07 16:46:51	hiifx_201804071646501801	zcf168	3000.0000	
keelintan20	2018-04-08 06:40:06	hiifx_201804080640067894	helen168	7500.0000	
keelintan20	2018-04-08 06:49:15	hiifx_201804080649148075	wdx521	14000.0000	
keelintan20	2018-04-08 06:55:26	hiifx_201804080655263323	jsq1319	15000.0000	
keelintan20	2018-04-08 07:11:53	hiifx_201804080711522331	jsq1319	3000.0000	
keelintan20	2018-04-08 07:31:53	hiifx_201804080731535143	lhy6699	25040.1900	
keelintan20	2018-04-08 07:38:28	hiifx_201804080738275842	wjh1981	5023.4900	
keelintan20	2018-04-08 07:45:54	hiifx_201804080745531914	yah6699	4000.0000	
keelintan20	2018-04-08 07:49:07	hiifx_201804080749077024	ljy666699	1500.0000	
keelintan20	2018-04-08 08:30:12	hiifx_201804080830113977	ljy666699	4001.3300	
keelintan20	2018-04-08 08:57:03	hiifx_201804080857034408	wjh1981	12365.5200	
keelintan20	2018-04-08 08:57:50	hiifx_201804080857495705	wjh1981	7728.4500	
keelintan20	2018-04-08 09:01:48	hiifx_201804080901488569	wjh1981	1159.2700	
keelintan20	2018-04-08 09:13:11	hiifx_201804080913101766	wjh1981	3091.3800	
keelintan20	2018-04-08 09:18:56	hiifx_201804080918569299	MLF123456	5250.0000	
keelintan20	2018-04-08 09:39:55	hiifx_201804080939545144	ljy666699	1500.0000	
keelintan20	2018-04-08 09:48:10	hiifx_201804080948109959	wdx521	6000.0000	
TTL781007	2018-04-08 10:28:18	hiifx_201804081028179785	ljy666699	1500.0000	
TTL781007	2018-04-08 10:32:25	hiifx_201804081032257268	jsq1319	4000.0000	
TTL781007	2018-04-08 11:34:47	hiifx_201804081134462124	xhf0102	13500.0000	
TTL781007	2018-04-08 11:35:22	hiifx_201804081135228468	wzl12922	3250.0000	
TTL781007	2018-04-08 11:35:46	hiifx_201804081135451338	xy9988	1500.0000	
TTL781007	2018-04-08 11:36:27	hiifx_201804081136266914	mjm8888	1271.5500	
TTL781007	2018-04-08 11:36:55	hiifx_201804081136542469	wsb1991	772.8500	
TTL781007	2018-04-08 11:37:40	hiifx_201804081137392695	sunzhenglong	10000.0000	
hanseshhl	2018-04-08 11:39:28	hiifx_201804081139288112	wdx521	3000.0000	
TTL781007	2018-04-08 11:39:54	hiifx_201804081139539692	yangxuegang	10000.0000	
TTL781007	2018-04-08 11:40:37	hiifx_201804081140362919	chenlianglei888	13501.5500	
TTL781007	2018-04-08 11:41:13	hiifx_201804081141123676	wangzongmei	6000.0000	
TTL781007	2018-04-08 11:46:52	hiifx_201804081146523992	M3588	3000.0000	
TTL781007	2018-04-08 11:47:20	hiifx_201804081147199034	fish494031821	1500.0000	
TTL781007	2018-04-08 11:47:37	hiifx_201804081147362079	zhengxianglan	4000.0000	
TTL781007	2018-04-08 11:47:55	hiifx_201804081147545744	cw1988	11000.0000	
TTL781007	2018-04-08 11:48:14	hiifx_201804081148146619	cw1988	1500.0000	
TTL781007	2018-04-08 11:48:46	hiifx_201804081148456887	ping4626	3000.0000	
TTL781007	2018-04-08 11:49:08	hiifx_201804081149078060	xiaohei	750.0000	
TTL781007	2018-04-08 11:49:27	hiifx_201804081149272795	xiaohei	3000.0000	
TTL781007	2018-04-08 11:49:48	hiifx_201804081149487249	Hiifx	40000.0000	
TTL781007	2018-04-08 11:50:14	hiifx_201804081150149794	Hiifx	32250.0000	
TTL781007	2018-04-08 11:54:38	hiifx_201804081154372558	yinenming	5000.0000	
TTL781007	2018-04-08 11:55:11	hiifx_201804081155107126	cxf200955	6000.0000	
TTL781007	2018-04-08 11:56:24	hiifx_201804081156238573	LeeyoungJia	3000.0000	
TTL781007	2018-04-08 11:57:02	hiifx_201804081157022830	fangpinren	3000.0000	
TTL781007	2018-04-08 11:57:26	hiifx_201804081157269048	lihuiwen	15000.0000	
TTL781007	2018-04-08 11:57:58	hiifx_201804081157575270	andyxiao	1500.0000	
TTL781007	2018-04-08 11:58:31	hiifx_201804081158314141	bossmeng	4000.0000	
TTL781007	2018-04-08 11:59:03	hiifx_201804081159036198	liupeng4581	750.0000	
TTL781007	2018-04-08 11:59:36	hiifx_201804081159355801	zouzhenwei	3000.0000	
TTL781007	2018-04-08 12:00:07	hiifx_201804081200066440	zhanghongwei888	4000.0000	
TTL781007	2018-04-08 12:01:08	hiifx_201804081201088318	lb2539	750.0000	
TTL781007	2018-04-08 12:02:31	hiifx_201804081202301338	luopishuai	8000.0000	
TTL781007	2018-04-08 12:04:19	hiifx_201804081204196581	wc4095215	1500.0000	
TTL781007	2018-04-08 12:04:48	hiifx_201804081204479555	shlh6688	7500.0000	
TTL781007	2018-04-08 12:06:08	hiifx_201804081206079034	lxjdhx	7500.0000	
TTL781007	2018-04-08 12:06:29	hiifx_201804081206287036	xh8299	4500.0000	
TTL781007	2018-04-08 12:06:58	hiifx_201804081206584043	yjly520	13014.7100	
TTL781007	2018-04-08 12:07:30	hiifx_201804081207302295	zhangjiadong	5500.0000	
TTL781007	2018-04-08 12:07:47	hiifx_201804081207467671	lizhou	5000.0000	
TTL781007	2018-04-08 12:08:26	hiifx_201804081208269495	jiekankan	5500.0000	
TTL781007	2018-04-08 12:08:59	hiifx_201804081208593951	Hiifx	3500.0000	
TTL781007	2018-04-08 12:09:22	hiifx_201804081209224890	liyan	7000.0000	
TTL781007	2018-04-08 12:09:44	hiifx_201804081209448974	liguyi178	1500.0000	
TTL781007	2018-04-08 12:11:11	hiifx_201804081211118561	guan888	6000.0000	
TTL781007	2018-04-08 12:11:34	hiifx_201804081211336094	zhengjiafu178	750.0000	
TTL781007	2018-04-08 12:11:52	hiifx_201804081211527623	guan888	1500.0000	
TTL781007	2018-04-08 12:12:21	hiifx_201804081212215472	guan888	4000.0000	
TTL781007	2018-04-08 12:12:47	hiifx_201804081212469312	luopishuai	8000.0000	
TTL781007	2018-04-08 12:13:12	hiifx_201804081213118439	hbj123456	9000.0000	
